id,locality_name,Postal_code,Price,Type_of_property,Number_of_rooms,Living_area,Type_of_sale,Equipped_kitchen,Furnished,Open_fire,Terrace,Garden,Number_of_facades,Swimming_Pool,State_of_building
20243528,BEERSEL,1650,499000.0,HOUSE,,110.0,FOR_SALE,True,False,False,,5200.0,4.0,True,GOOD
20243985,Deinze Astene,9800,,HOUSE_GROUP,,,FOR_SALE,False,False,False,,,,True,
20221782,DEURNE,2100,284000.0,HOUSE,,89.0,FOR_SALE,False,False,False,3.0,97.0,2.0,True,TO_BE_DONE_UP
20236558,ANTWERPEN,2018,389900.0,HOUSE,,150.0,FOR_SALE,False,False,False,5.0,19.0,2.0,True,JUST_RENOVATED
20236560,BORGERHOUT,2140,389900.0,HOUSE,,150.0,FOR_SALE,False,False,False,5.0,19.0,2.0,True,JUST_RENOVATED
20242082,DWORP,1653,359000.0,HOUSE,,78.0,FOR_SALE,True,False,False,,,4.0,True,GOOD
20241609,EDEGEM,2650,384950.0,HOUSE,,160.0,FOR_SALE,False,False,False,,70.0,2.0,True,TO_BE_DONE_UP
20242816,Wevelgem,8560,,HOUSE_GROUP,,,FOR_SALE,False,False,False,,,,True,
20243152,Gavere,9890,,HOUSE_GROUP,,,FOR_SALE,False,False,False,,,,True,
20242879,Lichtervelde,8810,,HOUSE_GROUP,,,FOR_SALE,False,False,False,,,,True,
20242880,Aalter,9880,,HOUSE_GROUP,,,FOR_SALE,False,False,False,,,,True,
20240478,Lierde,9570,,HOUSE_GROUP,,,FOR_SALE,False,False,False,,,,True,
20240433,Zulte Machelen,9870,,HOUSE_GROUP,,,FOR_SALE,False,False,False,,,,True,
20240694,Noorderwijk,2200,,HOUSE_GROUP,,,FOR_SALE,False,False,False,,,,True,
20239506,Ixelles,1050,,HOUSE_GROUP,,,FOR_SALE,False,False,False,,,,True,
20239506,Ixelles,1050,,HOUSE_GROUP,,,FOR_SALE,False,False,False,,,,True,
20244297,Sprimont,4140,298000.0,HOUSE,,242.0,FOR_SALE,True,False,False,80.0,147.0,2.0,False,GOOD
20236559,BRECHT,2960,479000.0,VILLA,,226.0,FOR_SALE,True,False,False,,780.0,4.0,True,TO_BE_DONE_UP
20238170,Berchem,2600,849000.0,HOUSE,,232.0,FOR_SALE,False,False,False,,70.0,2.0,True,JUST_RENOVATED
20243677,Sint-Kruis,8310,369000.0,HOUSE,,144.0,FOR_SALE,True,False,False,25.0,30.0,3.0,False,AS_NEW
20240024,Averbode,3271,,HOUSE_GROUP,,,FOR_SALE,False,False,False,,,,True,
20236677,AALST,9300,,HOUSE_GROUP,,,FOR_SALE,False,False,False,,,,True,
20236132,Gavere,9890,,HOUSE_GROUP,,,FOR_SALE,False,False,False,,,,True,
20235803,Merendree,9850,,HOUSE_GROUP,,,FOR_SALE,False,False,False,,,,True,
20236252,Wetteren,9230,,HOUSE_GROUP,,,FOR_SALE,False,False,False,,,,True,
20238742,Kortrijk,8500,,HOUSE_GROUP,,,FOR_SALE,False,False,False,,,,True,
20235883,Sint-Denijs-Westrem,9051,,HOUSE_GROUP,,,FOR_SALE,False,False,False,,,,True,
20238719,Kortrijk,8500,,HOUSE_GROUP,,,FOR_SALE,False,False,False,,,,True,
20235884,Gentbrugge,9050,,HOUSE_GROUP,,,FOR_SALE,False,False,False,,,,True,
20235621,Gent,9000,,HOUSE_GROUP,,,FOR_SALE,False,False,False,,,,True,
20239563,Bruxelles,1000,,HOUSE_GROUP,,,FOR_SALE,False,False,False,,,,True,
20239414,Ukkel,1180,,HOUSE_GROUP,,,FOR_SALE,False,False,False,,,,True,
20239506,Ixelles,1050,,HOUSE_GROUP,,,FOR_SALE,False,False,False,,,,True,
20239506,Ixelles,1050,,HOUSE_GROUP,,,FOR_SALE,False,False,False,,,,True,
20241395,ROESELARE,8800,339000.0,HOUSE,,164.0,FOR_SALE,True,False,False,15.0,40.0,3.0,True,GOOD
20240960,WIJNEGEM,2110,474000.0,HOUSE,,154.0,FOR_SALE,True,False,False,41.0,330.0,3.0,True,JUST_RENOVATED
20244012,Kruisem,9772,250000.0,HOUSE,,141.0,FOR_SALE,False,False,False,,300.0,4.0,False,TO_RENOVATE
20244298,Hannut,4280,289000.0,HOUSE,,130.0,FOR_SALE,True,False,False,20.0,400.0,4.0,False,GOOD
20244275,Kortrijk,8500,455000.0,HOUSE,14.0,187.0,FOR_SALE,True,False,False,,100.0,,True,GOOD
20243109,Oosterzele,9860,475000.0,HOUSE,3.0,134.0,FOR_SALE,False,False,False,24.0,1.0,4.0,False,AS_NEW
